Unnamed: 0,Year,Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electric car stocks,Electric cars sold,Lithium-ion Battery Price Data,GDP growth,Population,Primary Energy Consumption
0,2010,325.41,32.2,345.92,3428.38,2725.91,1069.2,4816.71,8459.82,1098.8333333333333,7450,450.0,4.5174303,1.222392,5701.202633333333
1,2011,341.24,63.58,439.88,3488.35,2610.34,1175.29,4864.28,8913.04,4271.571428571428,49000,414.2,3.3362863,1.2217461,5740.329030714286
2,2012,371.16,96.99,529.18,3660.99,2432.22,1227.52,5172.06,8962.88,8915.05,120000,378.4,2.6919608,1.2646369,4214.574148
3,2013,404.12,131.96,634.05,3791.34,2448.52,1180.35,5073.84,9426.88,17286.045454545456,201000,342.6,2.872839,1.247225,4017.682505454545
4,2014,438.57,197.74,706.01,3873.7,2498.73,1120.83,5237.0,9607.3,28805.83333333333,330000,306.8,3.1314754,1.2194372,3775.076460833333
5,2015,476.55,256.0,829.57,3884.0,2532.93,1118.41,5553.96,9281.27,43926.892857142855,550000,271.0,3.1287868,1.1906698,3582.506259178572
6,2016,481.69,328.11,960.0,4012.86,2571.05,1060.76,5839.46,9332.96,68007.0,760000,241.0,2.813736,1.1698172,3524.907300103448
7,2017,513.25,445.37,1138.96,4058.06,2594.23,987.45,5958.21,9628.8,107560.37931034484,1180000,211.0,3.451446,1.1368792,3592.448873103449
8,2018,543.76,575.12,1267.89,4178.38,2658.7,888.57,6197.0,10008.43,171650.0,2060000,181.0,3.282197,1.0819552,3684.592267586207
9,2019,576.12,705.52,1419.8,4225.93,2754.08,834.83,6369.66,9802.03,229055.70967741936,2080000,166.91,2.6759663,1.0445945,3829.884498548387
10,2020,609.27,853.37,1590.68,4344.05,2648.37,773.0,6332.21,9417.44,323243.87096774194,2980000,152.82,-2.878323,1.0190032,3703.974608709677
11,2021,658.66,1055.68,1849.47,4276.07,2762.24,830.76,6492.94,10156.81,525627.4193548387,6600000,138.72,6.3500896,0.82795835,3901.580564096774
12,2022,675.77,1323.32,2098.52,4297.74,2639.68,849.26,6581.64,10288.29,841062.5806451613,10200000,124.63,3.2380214,0.86852133,3952.849061290323
13,2023,678.74,1629.9,2304.44,4211.01,2685.74,788.55,6622.93,10467.93,1275022.258064516,13800000,110.54,2.8335087,0.8998079,4042.526888709677
